0,0,1
0,5,1
0,10,1
0,15,1
0,20,1
0,25,1
0,30,1
0,35,1
0,40,1
0,45,1
0,50,1
0,55,1
0,60,1
0,65,1
0,70,2
0,75,2
0,80,2
0,85,2
0,90,2
0,95,2
0,100,2
5,0,1
5,5,1
5,10,1
5,15,1
5,20,1
5,25,1
5,30,1
5,35,1
5,40,1
5,45,1
5,50,1
5,55,1
5,60,1
5,65,2
5,70,2
5,75,2
5,80,2
5,85,2
5,90,2
5,95,2
5,100,2
10,0,1
10,5,1
10,10,1
10,15,1
10,20,1
10,25,1
10,30,1
10,35,1
10,40,1
10,45,1
10,50,1
10,55,1
10,60,2
10,65,2
10,70,2
10,75,2
10,80,2
10,85,2
10,90,2
10,95,2
10,100,2
15,0,1
15,5,1
15,10,1
15,15,1
15,20,1
15,25,1
15,30,1
15,35,1
15,40,1
15,45,1
15,50,1
15,55,1
15,60,2
15,65,2
15,70,2
15,75,2
15,80,2
15,85,2
15,90,2
15,95,2
15,100,2
20,0,1
20,5,1
20,10,1
20,15,1
20,20,1
20,25,1
20,30,1
20,35,1
20,40,1
20,45,1
20,50,1
20,55,2
20,60,2
20,65,2
20,70,2
20,75,2
20,80,2
20,85,2
20,90,2
20,95,2
20,100,2
25,0,1
25,5,1
25,10,1
25,15,1
25,20,1
25,25,1
25,30,1
25,35,1
25,40,1
25,45,1
25,50,1
25,55,2
25,60,2
25,65,2
25,70,2
25,75,2
25,80,2
25,85,2
25,90,2
25,95,2
25,100,2
30,0,1
30,5,1
30,10,1
30,15,1
30,20,1
30,25,1
30,30,1
30,35,1
30,40,1
30,45,1
30,50,2
30,55,2
30,60,2
30,65,2
30,70,2
30,75,2
30,80,2
30,85,2
30,90,2
30,95,2
30,100,2
35,0,1
35,5,1
35,10,1
35,15,1
35,20,1
35,25,1
35,30,1
35,35,1
35,40,1
35,45,2
35,50,2
35,55,2
35,60,2
35,65,2
35,70,2
35,75,2
35,80,2
35,85,2
35,90,2
35,95,2
35,100,2
40,0,1
40,5,1
40,10,1
40,15,1
40,20,1
40,25,1
40,30,1
40,35,1
40,40,1
40,45,2
40,50,2
40,55,2
40,60,2
40,65,2
40,70,2
40,75,2
40,80,2
40,85,2
40,90,2
40,95,2
40,100,2
45,0,1
45,5,1
45,10,1
45,15,1
45,20,1
45,25,3
45,30,3
45,35,3
45,40,3
45,45,2
45,50,2
45,55,2
45,60,2
45,65,2
45,70,2
45,75,2
45,80,2
45,85,2
45,90,2
45,95,2
45,100,2
50,0,3
50,5,3
50,10,3
50,15,3
50,20,3
50,25,3
50,30,3
50,35,3
50,40,3
50,45,3
50,50,2
50,55,2
50,60,2
50,65,2
50,70,2
50,75,2
50,80,2
50,85,2
50,90,2
50,95,2
50,100,2
55,0,3
55,5,3
55,10,3
55,15,3
55,20,3
55,25,3
55,30,3
55,35,3
55,40,3
55,45,3
55,50,2
55,55,2
55,60,2
55,65,2
55,70,2
55,75,2
55,80,2
55,85,2
55,90,2
55,95,2
55,100,2
60,0,3
60,5,3
60,10,3
60,15,3
60,20,3
60,25,3
60,30,3
60,35,3
60,40,3
60,45,3
60,50,3
60,55,2
60,60,2
60,65,2
60,70,2
60,75,2
60,80,2
60,85,2
60,90,2
60,95,2
60,100,2
65,0,3
65,5,3
65,10,3
65,15,3
65,20,3
65,25,3
65,30,3
65,35,3
65,40,3
65,45,3
65,50,3
65,55,2
65,60,2
65,65,2
65,70,2
65,75,2
65,80,2
65,85,2
65,90,2
65,95,2
65,100,2
70,0,3
70,5,3
70,10,3
70,15,3
70,20,3
70,25,3
70,30,3
70,35,3
70,40,3
70,45,3
70,50,3
70,55,3
70,60,2
70,65,2
70,70,2
70,75,2
70,80,2
70,85,2
70,90,2
70,95,2
70,100,2
75,0,3
75,5,3
75,10,3
75,15,3
75,20,3
75,25,3
75,30,3
75,35,3
75,40,3
75,45,3
75,50,3
75,55,3
75,60,2
75,65,2
75,70,2
75,75,2
75,80,2
75,85,2
75,90,2
75,95,2
75,100,2
80,0,3
80,5,3
80,10,3
80,15,3
80,20,3
80,25,3
80,30,3
80,35,3
80,40,3
80,45,3
80,50,3
80,55,3
80,60,3
80,65,2
80,70,2
80,75,2
80,80,2
80,85,2
80,90,2
80,95,2
80,100,2
85,0,3
85,5,3
85,10,3
85,15,3
85,20,3
85,25,3
85,30,3
85,35,3
85,40,3
85,45,3
85,50,3
85,55,3
85,60,3
85,65,2
85,70,2
85,75,2
85,80,2
85,85,2
85,90,2
85,95,2
85,100,2
90,0,3
90,5,3
90,10,3
90,15,3
90,20,3
90,25,3
90,30,3
90,35,3
90,40,3
90,45,3
90,50,3
90,55,3
90,60,3
90,65,3
90,70,2
90,75,2
90,80,2
90,85,2
90,90,2
90,95,2
90,100,2
95,0,3
95,5,3
95,10,3
95,15,3
95,20,3
95,25,3
95,30,3
95,35,3
95,40,3
95,45,3
95,50,3
95,55,3
95,60,3
95,65,3
95,70,2
95,75,2
95,80,2
95,85,2
95,90,2
95,95,2
95,100,2
100,0,3
100,5,3
100,10,3
100,15,3
100,20,3
100,25,3
100,30,3
100,35,3
100,40,3
100,45,3
100,50,3
100,55,3
100,60,3
100,65,3
100,70,3
100,75,2
100,80,2
100,85,2
100,90,2
100,95,2
100,100,2
